id,kata_a,kata_b,jenis_oposisi,bidang,tingkat_keyakinan,penjelasan,penggunaan_a,penggunaan_b,catatan
1,baik,buruk,gradabel/kontekstual,umum,menengah,Pasangan 'baik' dan 'buruk' memiliki hubungan pertentangan makna dalam konteks umum.,Contoh: penggunaan kata 'baik' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'buruk' disesuaikan dengan konteks kalimat.,Makna berlawanan dapat bergantung pada konteks dan ranah pemakaian.
2,besar,kecil,gradabel/kontekstual,umum,menengah,Pasangan 'besar' dan 'kecil' memiliki hubungan pertentangan makna dalam konteks umum.,Contoh: penggunaan kata 'besar' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'kecil' disesuaikan dengan konteks kalimat.,Makna berlawanan dapat bergantung pada konteks dan ranah pemakaian.
3,panjang,pendek,gradabel/kontekstual,umum,menengah,Pasangan 'panjang' dan 'pendek' memiliki hubungan pertentangan makna dalam konteks umum.,Contoh: penggunaan kata 'panjang' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'pendek' disesuaikan dengan konteks kalimat.,Makna berlawanan dapat bergantung pada konteks dan ranah pemakaian.
4,tinggi,rendah,gradabel/kontekstual,umum,menengah,Pasangan 'tinggi' dan 'rendah' memiliki hubungan pertentangan makna dalam konteks umum.,Contoh: penggunaan kata 'tinggi' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'rendah' disesuaikan dengan konteks kalimat.,Makna berlawanan dapat bergantung pada konteks dan ranah pemakaian.
5,cepat,lambat,gradabel/kontekstual,umum,menengah,Pasangan 'cepat' dan 'lambat' memiliki hubungan pertentangan makna dalam konteks umum.,Contoh: penggunaan kata 'cepat' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'lambat' disesuaikan dengan konteks kalimat.,Makna berlawanan dapat bergantung pada konteks dan ranah pemakaian.
6,jauh,dekat,gradabel/kontekstual,umum,menengah,Pasangan 'jauh' dan 'dekat' memiliki hubungan pertentangan makna dalam konteks umum.,Contoh: penggunaan kata 'jauh' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'dekat' disesuaikan dengan konteks kalimat.,Makna berlawanan dapat bergantung pada konteks dan ranah pemakaian.
7,atas,bawah,direksional/reversif,umum,tinggi,Pasangan 'atas' dan 'bawah' memiliki hubungan pertentangan makna dalam konteks umum.,Contoh: penggunaan kata 'atas' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'bawah' disesuaikan dengan konteks kalimat.,Hubungan pertentangan makna relatif langsung.
8,depan,belakang,direksional/reversif,umum,tinggi,Pasangan 'depan' dan 'belakang' memiliki hubungan pertentangan makna dalam konteks umum.,Contoh: penggunaan kata 'depan' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'belakang' disesuaikan dengan konteks kalimat.,Hubungan pertentangan makna relatif langsung.
9,luar,dalam,gradabel/kontekstual,umum,menengah,Pasangan 'luar' dan 'dalam' memiliki hubungan pertentangan makna dalam konteks umum.,Contoh: penggunaan kata 'luar' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'dalam' disesuaikan dengan konteks kalimat.,Makna berlawanan dapat bergantung pada konteks dan ranah pemakaian.
10,kiri,kanan,direksional/reversif,umum,tinggi,Pasangan 'kiri' dan 'kanan' memiliki hubungan pertentangan makna dalam konteks umum.,Contoh: penggunaan kata 'kiri' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'kanan' disesuaikan dengan konteks kalimat.,Hubungan pertentangan makna relatif langsung.
