"id","kata_a","kata_b","jenis","penjelasan","penggunaan_a","penggunaan_b"
1,aba,ayah,sinonim_satu_synset,'aba' dan 'ayah' tervalidasi sebagai sinonim pada sekurang-kurangnya satu makna karena berada dalam synset WordNet Bahasa yang sama.,Contoh penggunaan kata 'aba' dalam kalimat.,Padanan kata 'aba' adalah 'ayah'.
2,abadi,kekal,sinonim_satu_synset,'abadi' dan 'kekal' tervalidasi sebagai sinonim pada sekurang-kurangnya satu makna karena berada dalam synset WordNet Bahasa yang sama.,Contoh penggunaan kata 'abadi' dalam kalimat.,Padanan kata 'abadi' adalah 'kekal'.
3,abadiat,abadiah,varian_baku_tidak_baku,'abadiat' dan 'abadiah' tervalidasi sebagai pasangan bentuk baku–varian/tidak baku; hubungan ini bukan selalu sinonimi bebas dalam semua konteks.,Contoh penggunaan kata 'abadiat' dalam kalimat.,Padanan kata 'abadiat' adalah 'abadiah'.
4,abah,aba,sinonim_satu_synset,'abah' dan 'aba' tervalidasi sebagai sinonim pada sekurang-kurangnya satu makna karena berada dalam synset WordNet Bahasa yang sama.,Contoh penggunaan kata 'abah' dalam kalimat.,Padanan kata 'abah' adalah 'aba'.
5,abakus,dekak-dekak,sinonim_satu_synset,'abakus' dan 'dekak-dekak' tervalidasi sebagai sinonim pada sekurang-kurangnya satu makna karena berada dalam synset WordNet Bahasa yang sama.,Contoh penggunaan kata 'abakus' dalam kalimat.,Padanan kata 'abakus' adalah 'dekak-dekak'.
6,abdi,pelayan,sinonim_satu_synset,'abdi' dan 'pelayan' tervalidasi sebagai sinonim pada sekurang-kurangnya satu makna karena berada dalam synset WordNet Bahasa yang sama.,Contoh penggunaan kata 'abdi' dalam kalimat.,Padanan kata 'abdi' adalah 'pelayan'.
7,abdi,hamba,sinonim_satu_synset,'abdi' dan 'hamba' tervalidasi sebagai sinonim pada sekurang-kurangnya satu makna karena berada dalam synset WordNet Bahasa yang sama.,Contoh penggunaan kata 'abdi' dalam kalimat.,Padanan kata 'abdi' adalah 'hamba'.
8,abdul,abdu,varian_baku_tidak_baku,'abdul' dan 'abdu' tervalidasi sebagai pasangan bentuk baku–varian/tidak baku; hubungan ini bukan selalu sinonimi bebas dalam semua konteks.,Contoh penggunaan kata 'abdul' dalam kalimat.,Padanan kata 'abdul' adalah 'abdu'.
9,abimana,abaimana,varian_baku_tidak_baku,'abimana' dan 'abaimana' tervalidasi sebagai pasangan bentuk baku–varian/tidak baku; hubungan ini bukan selalu sinonimi bebas dalam semua konteks.,Contoh penggunaan kata 'abimana' dalam kalimat.,Padanan kata 'abimana' adalah 'abaimana'.
10,batau,baktau,varian_baku_tidak_baku,'batau' dan 'baktau' tervalidasi sebagai pasangan bentuk baku–varian/tidak baku; hubungan ini bukan selalu sinonimi bebas dalam semua konteks.,Contoh penggunaan kata 'batau' dalam kalimat.,Padanan kata 'batau' adalah 'baktau'.
11,ablur,hablur,varian_baku_tidak_baku,'ablur' dan 'hablur' tervalidasi sebagai pasangan bentuk baku–varian/tidak baku; hubungan ini bukan selalu sinonimi bebas dalam semua konteks.,Contoh penggunaan kata 'ablur' dalam kalimat.,Padanan kata 'ablur' adalah 'hablur'.
12,abstrak,mujarad,sinonim_satu_synset,'abstrak' dan 'mujarad' tervalidasi sebagai sinonim pada sekurang-kurangnya satu makna karena berada dalam synset WordNet Bahasa yang sama.,Contoh penggunaan kata 'abstrak' dalam kalimat.,Padanan kata 'abstrak' adalah 'mujarad'.
13,abstrak,ringkasan,sinonim_satu_synset,'abstrak' dan 'ringkasan' tervalidasi sebagai sinonim pada sekurang-kurangnya satu makna karena berada dalam synset WordNet Bahasa yang sama.,Contoh penggunaan kata 'abstrak' dalam kalimat.,Padanan kata 'abstrak' adalah 'ringkasan'.
14,absurd,mustahil,sinonim_satu_synset,'absurd' dan 'mustahil' tervalidasi sebagai sinonim pada sekurang-kurangnya satu makna karena berada dalam synset WordNet Bahasa yang sama.,Contoh penggunaan kata 'absurd' dalam kalimat.,Padanan kata 'absurd' adalah 'mustahil'.
15,abu-abu,kelabu,sinonim_satu_synset,'abu-abu' dan 'kelabu' tervalidasi sebagai sinonim pada sekurang-kurangnya satu makna karena berada dalam synset WordNet Bahasa yang sama.,Contoh penggunaan kata 'abu-abu' dalam kalimat.,Padanan kata 'abu-abu' adalah 'kelabu'.
16,acan,acah,varian_baku_tidak_baku,'acan' dan 'acah' tervalidasi sebagai pasangan bentuk baku–varian/tidak baku; hubungan ini bukan selalu sinonimi bebas dalam semua konteks.,Contoh penggunaan kata 'acan' dalam kalimat.,Padanan kata 'acan' adalah 'acah'.
17,acap,sering,sinonim_satu_synset,'acap' dan 'sering' tervalidasi sebagai sinonim pada sekurang-kurangnya satu makna karena berada dalam synset WordNet Bahasa yang sama.,Contoh penggunaan kata 'acap' dalam kalimat.,Padanan kata 'acap' adalah 'sering'.
18,aci,sah,sinonim_satu_synset,'aci' dan 'sah' tervalidasi sebagai sinonim pada sekurang-kurangnya satu makna karena berada dalam synset WordNet Bahasa yang sama.,Contoh penggunaan kata 'aci' dalam kalimat.,Padanan kata 'aci' adalah 'sah'.
19,aci,acik,varian_baku_tidak_baku,'aci' dan 'acik' tervalidasi sebagai pasangan bentuk baku–varian/tidak baku; hubungan ini bukan selalu sinonimi bebas dalam semua konteks.,Contoh penggunaan kata 'aci' dalam kalimat.,Padanan kata 'aci' adalah 'acik'.
20,ada,kehadiran,sinonim_satu_synset,'ada' dan 'kehadiran' tervalidasi sebagai sinonim pada sekurang-kurangnya satu makna karena berada dalam synset WordNet Bahasa yang sama.,Contoh penggunaan kata 'ada' dalam kalimat.,Padanan kata 'ada' adalah 'kehadiran'.
21,adab,kesopanan,sinonim_satu_synset,'adab' dan 'kesopanan' tervalidasi sebagai sinonim pada sekurang-kurangnya satu makna karena berada dalam synset WordNet Bahasa yang sama.,Contoh penggunaan kata 'adab' dalam kalimat.,Padanan kata 'adab' adalah 'kesopanan'.
22,adan,azan,varian_baku_tidak_baku,'adan' dan 'azan' tervalidasi sebagai pasangan bentuk baku–varian/tidak baku; hubungan ini bukan selalu sinonimi bebas dalam semua konteks.,Contoh penggunaan kata 'adan' dalam kalimat.,Padanan kata 'adan' adalah 'azan'.
23,adan,adnan,varian_baku_tidak_baku,'adan' dan 'adnan' tervalidasi sebagai pasangan bentuk baku–varian/tidak baku; hubungan ini bukan selalu sinonimi bebas dalam semua konteks.,Contoh penggunaan kata 'adan' dalam kalimat.,Padanan kata 'adan' adalah 'adnan'.
24,babah,baba,varian_baku_tidak_baku,'babah' dan 'baba' tervalidasi sebagai pasangan bentuk baku–varian/tidak baku; hubungan ini bukan selalu sinonimi bebas dalam semua konteks.,Contoh penggunaan kata 'babah' dalam kalimat.,Padanan kata 'babah' adalah 'baba'.
